"GeneNames","value1","value2","log2(Fold_change)","log2(Fold_change) normalized","z-score","p-value","q-value(Benjamini et al. 1995)","q-value(Storey et al. 2003)","Signature(q-value(Storey et al. 2003) < 0.01)","mu","clr","pch"
"Rab40c",710,827,-0.220068304779231,-0.0664936672217796,-0.902859122951416,0.366600667817047,0.469031100599067,0.143392596935083,FALSE,9.58170936678166,"black","46"
"Nsun5",92,116,-0.334419039070559,-0.180844401513108,-0.901547423021026,0.367297331304543,0.469876511748002,0.14365105676849,FALSE,6.69077147559229,"black","46"
"Cpe",1302,1399,-0.103666513999119,0.0499081235583318,0.899395358866791,0.368442110414357,0.471294967570465,0.144055320985264,FALSE,10.3983469901652,"black","46"
"Paxip1",209,213,-0.0273504881449558,0.126224149412495,0.899291137091992,0.368497606949398,0.471319919973564,0.144055320985264,FALSE,7.72103437615336,"black","46"
"Cntnap1",71,91,-0.358047520694014,-0.204472883136563,-0.89914925084122,0.368573167615208,0.471370527645387,0.144055320985264,FALSE,6.32877087985169,"black","46"
"Gm20337",12,9,0.415037499278844,0.568612136836295,0.899063523291187,0.368618825976187,0.471290846918299,0.144055320985264,FALSE,3.37744375108173,"black","46"
"Pcdhb14",12,9,0.415037499278844,0.568612136836295,0.899063523291187,0.368618825976187,0.471290846918299,0.144055320985264,FALSE,3.37744375108173,"black","46"
"2310034G01Rik",12,9,0.415037499278844,0.568612136836295,0.899063523291187,0.368618825976187,0.471290846918299,0.144055320985264,FALSE,3.37744375108173,"black","46"
"St8sia6",12,9,0.415037499278844,0.568612136836295,0.899063523291187,0.368618825976187,0.471290846918299,0.144055320985264,FALSE,3.37744375108173,"black","46"
"Pde3b",12,9,0.415037499278844,0.568612136836295,0.899063523291187,0.368618825976187,0.471290846918299,0.144055320985264,FALSE,3.37744375108173,"black","46"
"Slc35a5",193,196,-0.0222528068471277,0.131321830710323,0.898288826357432,0.369031587956759,0.471680429033937,0.144193996426204,FALSE,7.60358344069164,"black","46"
"B230219D22Rik",389,406,-0.0617095721989838,0.0918650653584673,0.89826233380237,0.369045708389669,0.471652444332107,0.144193996426204,FALSE,8.63448113108569,"black","46"
"Lenep",56,73,-0.382469636822414,-0.228894999264963,-0.897706759526085,0.369341904814803,0.471984932226255,0.144295644915037,FALSE,5.99858974046881,"black","46"
"Nup107",123,122,0.0117771677763532,0.165351805333804,0.897631330554567,0.369382130077717,0.471990279588037,0.144297279715142,FALSE,6.93662592145106,"black","46"
"Ube2m",491,577,-0.23284829433079,-0.0792736567733386,-0.89708281857104,0.369674726105403,0.472318069568425,0.144386395688945,FALSE,9.05600336148009,"black","46"
"Mterf2",17,25,-0.556393348524385,-0.402818710966934,-0.897068471268663,0.369682381405475,0.472281774157263,0.144386395688945,FALSE,4.36565951551253,"black","46"
"Cbx8",76,73,0.0581029545635676,0.211677592121019,0.896045149535117,0.370228650006587,0.472933515459058,0.14458564660786,FALSE,6.2188760361618,"black","46"
